layer,raw_title,course_key,match_status,catalogue_course_title,stack
delivered,Redux & NextJS,redux nextjs,unmapped,,
delivered,Introduction to Artificial Intelligence,introduction to artificial intelligence,unmapped,,
delivered,Physics Assessment,physics assessment,unmapped,,
delivered,Fundamentals of Web Development,fundamentals of web development,unmapped,,
delivered,Applied Physics for Data Science [Lab],applied physics for data science lab,unmapped,,
delivered,Introduction to ReactJS,introduction to reactjs,unmapped,,
delivered,Introduction to NIAT,introduction to niat,unmapped,,
delivered,Problem Solving with Python,problem solving with python,unmapped,,
delivered,Computer Programming,computer programming,partial,Computer Programming using Python,Programming & Algorithms
delivered,DSA Foundation,dsa foundation,unmapped,,
delivered,Data Structures using C++,data structures using c,unmapped,,
delivered,Engineering Physics,engineering physics,unmapped,,
delivered,Mathematics Assessment,mathematics assessment,unmapped,,
delivered,Linear algebra and Optimization,linear algebra and optimization,unmapped,,
delivered,Foreign Language-2,foreign language 2,unmapped,,
delivered,HTML & CSS,html css,unmapped,,
delivered,Core Java,core java,unmapped,,
delivered,Web Application Development 1,web application development 1,partial,Web Application Development,FullStack
delivered,Intro to Software Development,intro to software development,unmapped,,
delivered,Advanced Communication Skills,advanced communication skills,unmapped,,
delivered,English - Advance,english advanced,partial,Communicative English Advanced,English
delivered,DAA,daa,unmapped,,
delivered,GEN AI,gen ai,unmapped,,
delivered,Workshop Technology (Introduction to Generative AI),workshop technology introduction to generative ai,unmapped,,
delivered,Django & DRF for Backend Development,django drf for backend development,unmapped,,
delivered,GEN_ AI Assessments,gen ai assessments,unmapped,,
delivered,Build Your Own Static Website,build your own static website,unmapped,,
delivered,ADVANCE DSA,advanced dsa,unmapped,,
delivered,C Programming,c programming,unmapped,,
delivered,Introduction to Generative AI - Assessments,introduction to generative ai assessments,unmapped,,
delivered,Environmental Studies,environmental studies,unmapped,,
delivered,Engineering Drawing,engineering drawing,unmapped,,
delivered,Basic Electronics,basic electronics,unmapped,,
delivered,Mathematics 1,mathematics 1,unmapped,,
delivered,DBMS,dbms,unmapped,,
delivered,DSA,dsa,unmapped,,
delivered,Algorithm Design,algorithm design,unmapped,,
delivered,CSP,csp,unmapped,,
delivered,Programming with Python,programming with python,unmapped,,
delivered,Communicative English Advanced,communicative english advanced,exact,Communicative English Advanced,English
delivered,Testing Course,testing course,unmapped,,
delivered,Logical Reasoning,logical reasoning,exact,Logical Reasoning,Aptitude
delivered,Web Application Development I,web application development i,partial,Web Application Development,FullStack
delivered,SDP,sdp,unmapped,,
delivered,VIDEO Games,video games,unmapped,,
delivered,ENGLISH,english,partial,Applied Communicative English,English
delivered,Introduction to Database Management Systems Assessment,introduction to database management systems assessment,partial,Database Management Systems,CS Core
delivered,Chemistry Assessment,chemistry assessment,unmapped,,
delivered,Frontend Development Essentials-1 Assessments,frontend development essentials 1 assessments,partial,Frontend Development,FullStack
delivered,Computer Programming Laboratory,computer programming laboratory,unmapped,,
delivered,Introduction To Logic,introduction to logic,unmapped,,
delivered,Professional Skills for Engineers,professional skills for engineers,unmapped,,
delivered,Foreign Language,foreign language,unmapped,,
delivered,DBMS Fundamentals,dbms fundamentals,unmapped,,
delivered,Interview Prep Course,interview prep course,unmapped,,
delivered,Web  Application Development -2,web application development 2,partial,Web Application Development,FullStack
