semester,institute_id,university_short,institute_name,university_course,nxtwave_tag,course_id,credits
Semester 2,3953321b-7214-4c08-a29c-abbf1984bbf0,ADYPU,A Dy Patil University,Indian Knowledge Systems,Complaince,27ea918a-df83-4500-98d8-fe137323ef63,2.0
Semester 2,3953321b-7214-4c08-a29c-abbf1984bbf0,ADYPU,A Dy Patil University,Engineering Drawing,Complaince,80eeab06-4258-4e87-ad27-cf8ee362edb8,0.0
Semester 2,3953321b-7214-4c08-a29c-abbf1984bbf0,ADYPU,A Dy Patil University,Co-curricular Activities - 2,Complaince,,2.0
Semester 2,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Web Application Development 2,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,4.0
Semester 2,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Database Management Systems,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Data Structures,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,6.0
Semester 2,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Numerical Ability,Numerical Ability,3525d39d-b705-45a1-ac24-67291bf35bd6,3.0
Semester 2,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Communicative English Advanced,Communicative English Advanced,b21fe64c-21dc-4d6b-bd20-eceb953dd154,2.0
Semester 2,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Building LLM Applications,Building LLM Applications,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,2.0
Semester 2,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Environmental Sciences,Complaince,a84c404d-473d-49a8-850f-38e7ae077e13,1.0
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Front End Full Stack Development,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,4.0
